product_title,product_page_url,full_price,product_description,brand,category,competence_date,image_url
Naturalizer Women's Edison Mary Jane Platform Slingbacks - Macy's,https://www.macys.com/shop/product/naturalizer-womens-edison-mary-jane-platform-slingbacks?ID=20521984,$89.00,"From our Lite Series // Classic, but better: A slingback strap, lightweight feel and wedge heel kicks these Mary Jane shoes up a notch. Slingbacks with Mary Jane inspired strap and Naturalizer ""N"" heritage ornamentation. Synthetic upper with linings and an almond toe. Adjustable hook-and-loop top strap. Contour+ Comfort technology for a premium fit and all-day comfort experience. Lug sole. Flexible and lightweight EVA sole. 0.75-inch platform, 1-inch wedge heel. WHY YOU'LL LOVE IT: Forever elegant silhouettes with all day wearability, available in an inclusive range of sizes and widths. Designed to the contours of a woman's foot. The Beautiful Fit. Since 1927.",Naturalizer,"Women's Clothing, Shoes & Accessories, Flats",2024-12-21 22:00:18.675517,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/30961668_fpx.tif?$filterlrg$&wid=327
Washington Capitals Plush Team Mascot - Macy's,https://www.macys.com/shop/product/washington-capitals-plush-team-mascot?ID=13984374,,Your Washington Capitals experience won't be complete without this adorable Plush Team Mascot.,FOCO,All Toys,2024-12-21 22:00:29.082429,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/21319692_fpx.tif?$filterlrg$&wid=327
MAC MACStack Mascara in Superstack Mega Brush - Macy's,https://www.macys.com/shop/product/mac-macstack-mascara-in-superstack-mega-brush?ID=18427043,$29.00,"Endlessly buildable, Macstack Mascara Superstack stacks on customizable volume, adds infinite lash length. Choose from two tailored brush sizes to match your every eyelash mood.",MAC,"Beauty, All Makeup",2024-12-21 22:00:59.020134,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/25755600_fpx.tif?$filterlrg$&wid=327
AIRWAVES Men's Wicked Colorful Logo Short Sleeve Tee - Macy's,https://www.macys.com/shop/product/airwaves-mens-wicked-colorful-logo-short-sleeve-tee?ID=20388321,,"Walk around in style with this men's graphic short sleeve. Our adult short sleeves are lightweight, soft and durable, perfect for everyday wear.",AIRWAVES,"Men's Clothing & Accessories, T-Shirts",2024-12-21 22:01:03.074808,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/30810311_fpx.tif?$filterlrg$&wid=327
Women's Fanatics Black Texas Rangers 2023 World Series Champions Signature Roster V-Neck T-shirt - Macy's,https://www.macys.com/shop/product/womens-fanatics-black-texas-rangers-2023-world-series-champions-signature-roster-v-neck-t-shirt?ID=17256730,$37.99,Congratulate the Texas Rangers on becoming 2023 World Series Champions and celebrate their victory with this Signature Roster V-Neck T-shirt.,Fanatics,Sports Fan Shop,2024-12-21 22:01:07.488475,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/26358750_fpx.tif?$filterlrg$&wid=327
XSCAPE Women's Halter-Strap Ruffled Gown - Macy's,https://www.macys.com/shop/product/xscape-womens-halter-strap-ruffled-gown?ID=20094237,$229.00,Halter straps and oversized ruffles draw the eye on this alluring gown by XSCAPE.,XSCAPE,"Women's Clothing, Shoes & Accessories, Dresses",2024-12-21 22:01:49.231978,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30809177_fpx.tif?$filterlrg$&wid=327
Le Creuset 1.7 Quart Enamel on Steel Whistling Tea Kettle - Macy's,https://www.macys.com/shop/product/le-creuset-1.7-quart-enamel-on-steel-whistling-tea-kettle?ID=19727895,$134.95,"The enamel on Steel classic whistling kettle is crafted from fast-heating premium carbon steel and finished with a colorful enamel in our stylish palette of colors to complement any kitchen. Useful for preparing French press coffee, oatmeal and much more in addition to tea, durable carbon steel heats water rapidly, and a fixed single-tone whistle alerts when the water has reached a rolling boil. Chip-resistant, non-reactive, resistant to stains, and easy to clean, Le Creuset kettles make excellent gifts and are a beautiful way to add a touch of color to the kitchen.",Le Creuset,"Kitchen & Dining, Teapots & Tea Kettles",2024-12-21 22:01:52.558083,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/29304265_fpx.tif?$filterlrg$&wid=327
Dr. Scholl's Women's Madison Cloud Slip On Sneakers - Macy's,https://www.macys.com/shop/product/dr.-scholls-womens-madison-cloud-slip-on-sneakers?ID=20376046,$80.00,"Sky's the limit in these ultra-comfy slip on sneakers for women. CRAFTED: Fabric lining and topcloth; toe box and heel counter. MATERIALS: Faux leather, canvas fabric or microfiber upper. FIT: Slip on fit for easy on off. FEELS: Anti-odor, Insole Technology with anatomical cushioning, comfort, and support. MOVEMENT: Lightweight, flexible construction moves with you. STYLE: Women's slip ons with round toe, simple twin gore, and lightweight, flexible 1-inch sport sole. Our fan fave slip ons level up. Lightweight, flexible walking shoes that you'll wear as airport shoes, comfort shoes, or everyday shoes.",Dr. Scholl's,"Women's Clothing, Shoes & Accessories, Sneakers & Athletic Shoes",2024-12-21 22:02:03.491212,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/30775690_fpx.tif?$filterlrg$&wid=327
Diamond Pavé Sculptural Huggie Hoop Earrings (1/10 ct. t.w.) in Sterling Silver  - Macy's,https://www.macys.com/shop/product/diamond-pave-sculptural-huggie-hoop-earrings-1-10-ct.-t.w.-in-sterling-silver?ID=20030281,$400.00,The vibe is artistry and sophistication in these polished white gold sculptural hoop earrings with dazzling rows of diamond pavé,Macy's,"Jewelry & Watches, Earrings",2024-12-21 22:02:22.092631,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/30826569_fpx.tif?$filterlrg$&wid=327
Lauren Ralph Lauren Women's Georgette Cape Dress - Macy's,https://www.macys.com/shop/product/lauren-ralph-lauren-womens-georgette-cape-dress?ID=16667148,$195.00,"A stylish choice for special occasions, this modern georgette cocktail dress from Lauren Ralph Lauren is elevated by a cascading cape, which adds fluid movement to its body-hugging silhouette.",Lauren Ralph Lauren,"Women's Clothing, Shoes & Accessories, Dresses",2024-12-21 22:02:40.542958,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30673887_fpx.tif?$filterlrg$&wid=327
Hope & Henry Toddler Girls Organic Long Sleeve Mock Neck Bow Detail Sweater Dress - Macy's,https://www.macys.com/shop/product/hope-henry-toddler-girls-organic-long-sleeve-mock-neck-bow-detail-sweater-dress?ID=19793418,$36.95,"This adorable piece combines the polish of a dress with the comfort of her favorite sweater (aka the best of both worlds). Features a cozy mock neck with feminine bow detail, twirly skirt with tipping, and gold buttons at the back neck closure. A special piece in soft organic cotton.",Hope & Henry,"Kids, Dresses",2024-12-21 22:02:51.675244,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/29976451_fpx.tif?$filterlrg$&wid=327
Lauren Ralph Lauren Art Deco Square Scarf - Macy's,https://www.macys.com/shop/product/lauren-ralph-lauren-art-deco-square-scarf?ID=19832737,$98.00,"Introducing our Art Deco Square, a luxurious and eye-catching accessory crafted for style enthusiasts. This square scarf features an intricate art deco design that exudes elegance and sophistication. Perfect for adding a pop of personality to any outfit.",Lauren Ralph Lauren,"Women's Clothing, Shoes & Accessories, Winter Accessories",2024-12-21 22:02:55.246176,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/30079871_fpx.tif?$filterlrg$&wid=327
