product_title,product_page_url,full_price,product_description,brand,category,competence_date,image_url
Slickblue 2.5 Quart Stainless Steel Whistling Teapot Kettle with Stay Cool Handle - Macy's,https://www.macys.com/shop/product/slickblue-2.5-quart-stainless-steel-whistling-teapot-kettle-with-stay-cool-handle?ID=20585928,$85.99,"The 2.5 Quart Stainless Steel Whistling Teapot Kettle with Stay Cool Handle is constructed with high-quality thick stainless steel to retain heat, making your second cup of tea just a good as your first. It has an old fashioned whistle system to let you know when the water is boiling inside, and the handle stays cool for easy pouring. Whistling teakettle alerts when water is boiling recommend you to move after Whistle has been blown.",Slickblue,"Kitchen & Dining, Teapots & Tea Kettles",2024-12-21 22:13:15.730810,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/31050100_fpx.tif?$filterlrg$&wid=327
NARS Soft Matte Complete Concealer - Macy's,https://www.macys.com/shop/product/nars-soft-matte-complete-concealer?ID=15863304,$32.00,"Discover high-performance correction with soft-focus blurring. Soft Matte Complete Concealer instantly blurs and smooths uneven texture while concealing dark spots, under-eye circles, redness and breakouts with a soft-focus matte effect that wears all day. Over time, skin appears softer and smoother from supportive peptides, hyaluronic acid and a protective cocktail of vitamins A, C and E.",NARS,"Beauty, All Makeup",2024-12-21 22:13:39.117098,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/23889560_fpx.tif?$filterlrg$&wid=327
Fanatics Men's Charcoal Vegas Golden Knights 2024 NHL Draft Snapback Hat - Macy's,https://www.macys.com/shop/product/fanatics-mens-charcoal-vegas-golden-knights-2024-nhl-draft-snapback-hat?ID=18935867,$35.99,Welcome the newest players to the Vegas Golden Knights with this 2024 NHL Draft Snapback Hat from Fanatics. This hat's adjustable design will ensure you find the right fit for your head. The Vegas Golden Knights graphics on the front will let you remember this draft class for years to come.,Fanatics,Sports Fan Shop,2024-12-21 22:13:42.478012,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/28981205_fpx.tif?$filterlrg$&wid=327
Grown With Love IGI Certified Lab Grown Diamond Anniversary Band (2 ct. t.w.) in 14k White or Yellow Gold - Macy's,https://www.macys.com/shop/product/grown-with-love-igi-certified-lab-grown-diamond-anniversary-band-2-ct.-t.w.-in-14k-white-or-yellow-gold?ID=13015123,"$3,300.00","Love is forever, so commemorate your relationship with this stunning lab grown diamond anniversary band from Grown With Love. Each Grown with Love item comes with an IGI (International Gemological Institute) Laboratory Grown Diamond Report.",Grown With Love,"Jewelry & Watches, Rings",2024-12-21 22:13:52.962067,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/13339515_fpx.tif?$filterlrg$&wid=327
Slickblue Durable Heavy Duty Metal Platform Bed Frame with Sturdy Construction - Macy's,https://www.macys.com/shop/product/slickblue-durable-heavy-duty-metal-platform-bed-frame-with-sturdy-construction?ID=20570967,$349.99,"Enhance your bedroom with this Heavy Duty Metal Platform Bed Frame, designed to provide robust support for a wide variety of mattresses. Built from high-quality metal, this frame offers a sturdy foundation that eliminates the need for a box spring while ensuring long-term durability. Its minimalist, industrial design complements modern or traditional bedroom aesthetics, making it an excellent choice for any home.",Slickblue,Furniture,2024-12-21 22:13:57.299781,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/30990140_fpx.tif?$filterlrg$&wid=327
LeisureMod Cresco Molded Eiffel Side Chair - Macy's,https://www.macys.com/shop/product/leisuremod-cresco-molded-eiffel-side-chair?ID=20583791,$56.13,"This Cresco Molded Plastic Eiffel Side Chair is ergonomically designed to take pressure off the back and thighs. The chair is as comfortable as it is visually pleasing, with its simple sleek lines and curves forming the core design. The chairs are extremely comfortable. The flexible back has a good 'give'. The deep seat pocket supported by an elegant wire base makes this the set of chairs that are ideal for both stylish and comfortable seating.  In an office setting, these chairs give a slight air of authority, combined with the simplicity of modern design. In a dining setting, they are the fining touch to the contemporary kitchen or dining room. In whichever setting you place them, the Cresco Chair is sure to bring together the perfect harmony of modern style and comfort.",LeisureMod,Furniture,2024-12-21 22:14:29.354821,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31006879_fpx.tif?$filterlrg$&wid=327
Grown With Love Certified Lab Grown Diamond Channel Set Band (1 ct. t.w.) in 14k Gold - Macy's,https://www.macys.com/shop/product/grown-with-love-certified-lab-grown-diamond-channel-set-band-1-ct.-t.w.-in-14k-gold?ID=19865231,"$1,300.00(35% off)",Certified channel-set lab grown diamonds radiate a glamorous energy on this beautifully polished band from Grown With Love.,Grown With Love,"Jewelry & Watches, Rings",2024-12-21 22:14:54.862630,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/30202744_fpx.tif?$filterlrg$&wid=327
Edikted Women's Wide Leg Contrast Fold Over Pants - Macy's,https://www.macys.com/shop/product/edikted-womens-wide-leg-contrast-fold-over-pants?ID=20604935,$64.00,"Show yourself some love with these wide-leg pants. With a fold-over waistband and comfortable fabric, these pants will become a staple in your wardrobe.",Edikted,"Women's Clothing, Shoes & Accessories, Pants",2024-12-21 22:15:13.422833,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31049423_fpx.tif?$filterlrg$&wid=327
"Addison Chantille ACN727 2'6""x3'10"" Area Rug - Macy's",https://www.macys.com/shop/product/addison-chantille-acn727-26x310-area-rug?ID=20441606,$119.00,"It’s a fusion of style and functionality, featuring UV stabilization for varied environments, ultra-thin construction for simple placement, machine-washable fabric for easy upkeep, and a design that's both family and pet friendly.",Addison,Rugs,2024-12-21 22:15:39.290889,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/30867360_fpx.tif?$filterlrg$&wid=327
"Black & Decker Infrared Quartz Tower Heater, Manual - Macy's",https://www.macys.com/shop/product/black-decker-infrared-quartz-tower-heater-manual?ID=13478611,$60.19(30% off),"PamaPic Patio Heater design with a unique finish is ideal for various occasions, proving a warm atmosphere while adding a sense of decoration to your patio, backyard, balcony, etc. With a simple ignition system and user-friendly design, this gas heater is easy to control and use. Besides, the tempered windproof glass makes the flame burn stably outdoors and prevents you from accidentally being hurt by the flame.",Black & Decker,"Health & Wellness, Shop All Personal Care",2024-12-21 22:15:42.723750,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/26302694_fpx.tif?$filterlrg$&wid=327
Slickblue Farmhouse Contemporary 6-Drawer Double Dresser for Bedroom Storage and Rustic Style - Macy's,https://www.macys.com/shop/product/slickblue-farmhouse-contemporary-6-drawer-double-dresser-for-bedroom-storage-rustic-style?ID=20594524,$715.99,"Its distressed wood finish and clean lines add a touch of farmhouse elegance, while the sturdy construction ensures long-lasting durability. With sleek metal hardware and a spacious surface for displaying decor or lamps, this dresser brings both rustic style and practical storage to your bedroom, creating a warm and inviting atmosphere.",Slickblue,Furniture,2024-12-21 22:15:46.145445,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/31029021_fpx.tif?$filterlrg$&wid=327
Las Vegas Raiders Plushie Mascot Pillow - Macy's,https://www.macys.com/shop/product/las-vegas-raiders-plushie-mascot-pillow?ID=16721273,$34.99,Add some Las Vegas Raiders spirit to any room in a fun way with this Plushie pillow. It's shaped to match the Las Vegas Raiders mascot and decked out in team colors. The blended material also feels soft to lay on and has some stretch for lasting use.,Pegasus Home Fashions,Sports Fan Shop,2024-12-21 22:15:49.577481,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/25531308_fpx.tif?$filterlrg$&wid=327
Loloi Heritage HER-10 3'x5' Area Rug - Macy's,https://www.macys.com/shop/product/loloi-heritage-her-10-3x5-area-rug?ID=19992635,$139.00,"Inspired by vintage rugs, the collection recreates a vintage aesthetic and variable-pile texture using a new craft process that was invented specifically for this rug. Heritage is made in Egypt of polypropylene, polyester, and wool for thicker, variable texture and soft blended pile.",Loloi,Rugs,2024-12-21 22:16:30.052132,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/30424956_fpx.tif?$filterlrg$&wid=327
Lacoste Men's Croc Logo Cap  - Macy's,https://www.macys.com/shop/product/lacoste-mens-croc-logo-cap?ID=18823543,$65.00,Put the finishing touch on your sporty look with the bold croc logo featured at the front of this cool cotton cap from Lacoste.,Lacoste,"Men's Clothing & Accessories, Hats & Caps",2024-12-21 22:16:33.407352,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/29983536_fpx.tif?$filterlrg$&wid=327
Women's WEAR by Erin Andrews Pittsburgh Steelers Stripe Glove and Scarf Set - Macy's,https://www.macys.com/shop/product/womens-wear-by-erin-andrews-pittsburgh-steelers-stripe-glove-scarf-set?ID=17471605,$36.99,"As temperatures descend, heat things up with this Pittsburgh Steelers scarf and gloves set from WEAR by Erin Andrews. This combo includes a cozy scarf and comfy gloves, both with spirited striped graphics to enhance your fandom in comfort. The scarf's decorative fringe ends and double-sided design make this a stylish ensemble you won't hesitate to reach for on colder Pittsburgh Steelers game days.",WEAR by Erin Andrews,Sports Fan Shop,2024-12-21 22:17:07.270895,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/26576315_fpx.tif?$filterlrg$&wid=327
"Cliganic Organic Cedarwood Oil, 1oz - Macy's",https://www.macys.com/shop/product/cliganic-organic-cedarwood-oil-1oz?ID=20058616,$12.49,"Discover the pure essence of nature with Cliganic Essential Oils. Crafted with care and precision, our oils offer a sensory journey like no other. Elevate your space with delightful aromas and experience the subtle power of nature's botanical treasures. Embrace wellness and harmony with every drop.",Cliganic,Shop All Holiday,2024-12-21 22:17:18.033491,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30351937_fpx.tif?$filterlrg$&wid=327
"NBCP PS4 Wireless Controller, Gamepads for PlayStation 4, 1200mAh Battery, Dual Motors, 6-Axis Gyro, 3.5mm Audio Jack, Hall Effect Sensor, Headphone MIC Switch, Multi Touch Pad, Share Button - Macy's",https://www.macys.com/shop/product/nbcp-ps4-wireless-controller-gamepads-for-playstation-4-1200mah-battery-dual-motors-6-axis-gyro-3.5mm-audio-jack-hall-effect-sensor-headphone-mic-switch-multi-touch-pad-share-button?ID=20639749,$199.95,"Turbo Function and Long Battery - Enjoy up to 8 hours of playtime with a 1200mAh battery and rapid-fire turbo mode. Multi-Platform Use - Compatible with PS4, PS3, PC, iOS, and Android, supporting both wired and wireless connections. Precision Control - Equipped with a gyroscope and hall effect triggers for smooth, accurate gameplay. RGB Design - Features RGB joystick light rings, an RGB touchpad, and LED light accents for a stylish gaming experience. Customizable Sensitivity - Adjust joystick and trigger sensitivity for personalized control, with transparent, durable crystal buttons. 100% Satisfaction Guarantee - 30-Day Money-Back and 90 days replacement warranty. Please feel free to contact us if you are facing any setting issues and we will help u with the details operation guide.",NBCP,"Electronics, Video Games & Consoles",2024-12-21 22:18:15.792949,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31068759_fpx.tif?$filterlrg$&wid=327
Ivory Ella Women's Iconic Hooded Long-sleeve Tee - Macy's,https://www.macys.com/shop/product/ivory-ella-womens-iconic-hooded-long-sleeve-tee?ID=20611189,$42.00,"With its long sleeves and comfy  hood, this tee is perfect for layering, allowing you to create stylish outfits all year round. Plus, its lightweight construction allows for unrestricted movement, ensuring that you feel at ease no matter the occasion.",Ivory Ella,"Women's Clothing, Shoes & Accessories, Tops",2024-12-21 22:18:28.433611,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31049036_fpx.tif?$filterlrg$&wid=327
Men's Fanatics Red Kansas City Chiefs Super Bowl LVIII Champions Iconic Big and Tall Long Sleeve T-shirt - Macy's,https://www.macys.com/shop/product/mens-fanatics-red-kansas-city-chiefs-super-bowl-lviii-champions-iconic-big-tall-long-sleeve-t-shirt?ID=17951343,$44.99,"Throughout an exhilarating season, the Kansas City Chiefs executed all the right plays to take home the title of Super Bowl LVIII Champions. Celebrate this crowning achievement by grabbing this Iconic Big and Tall Long Sleeve T-shirt from Fanatics. With striking SBLVIII graphics, this commemorative gear is exactly what you need to honor your Kansas City Chiefs emerging victorious in the league.",Fanatics,Sports Fan Shop,2024-12-21 22:18:33.001898,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/27190521_fpx.tif?$filterlrg$&wid=327
"KeaBabies Toddler Pillow with Pillowcase, Small Kids Pillow for Sleeping - Macy's",https://www.macys.com/shop/product/keababies-toddler-pillow-with-pillowcase-small-kids-pillow-for-sleeping?ID=16089851,$26.96,"KeaBabies' My Little Dreamy Toddler Pillow is great for kids aged 2-5. It measures 13""X18"", perfect for naps, travel, and sleepovers. The travel pillow's height promotes better sleep for kids, and it comes with a cute pillowcase. Pillow and pillowcase are machine washable.",KeaBabies,"Bed & Bath, Bed Pillows",2024-12-21 22:18:36.790914,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/24291942_fpx.tif?$filterlrg$&wid=327
COTTON ON Women's Crinkled Side-Tie Brazilian Bikini Bottoms - Macy's,https://www.macys.com/shop/product/cotton-on-womens-crinkled-side-tie-brazilian-bikini-bottoms?ID=20532949,$24.99,"Tropic like it's hot in these cheeky bikini bottoms from COTTON ON, featuring fixed side ties.",COTTON ON,"Women's Clothing, Shoes & Accessories, Swimsuits",2024-12-21 22:18:48.570166,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/30994022_fpx.tif?$filterlrg$&wid=327
Crane Baby Parker Baby Ruffled Canopy - Macy's,https://www.macys.com/shop/product/crane-baby-parker-baby-ruffled-canopy?ID=20259614,$149.99,"Add a touch of elegance and whimsy to your child's room with Crane Baby's Parker Ruffle Canopy. Perfect for creating a dreamy bed canopy, this versatile canopy is ideal for nurseries, toddler rooms, and playrooms. The ruffled design adds a soft, delicate touch, making it a perfect fit for nursery decor or kid's rooms.",Crane Baby,"Shop All Baby, Baby Gear & Essentials",2024-12-21 22:18:51.962260,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/30666115_fpx.tif?$filterlrg$&wid=327
Indigo Rein Juniors' Faded Mid-Rise Cuffed Capri Jeans - Macy's,https://www.macys.com/shop/product/indigo-rein-juniors-faded-mid-rise-cuffed-capri-jeans?ID=20004435,$40.00,"A cuffed style lends an edgier vibe to these ""lived-in"" capri jeans by Indigo Rein, the perfect compliment to your favorite tee.",Indigo Rein,"Juniors', Jeans",2024-12-21 22:18:56.009624,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/30275456_fpx.tif?$filterlrg$&wid=327
"Hope & Henry Toddler Girls Sleeveless Pleated Collar Sateen Party Dress, Toddler|Child - Macy's",https://www.macys.com/shop/product/hope-henry-toddler-girls-sleeveless-pleated-collar-sateen-party-dress-toddlerchild?ID=16901204,$42.95,"Can you say stunning? Jumpstart the holiday season with one of our favorite party dresses for girl. Cut from soft organic cotton sateen, our refined dress features a beautiful pleated collar, full skirt, bow detail at the back scoop neck, and zipper closure down the center back for easy dressing.",Hope & Henry,"Kids, Dresses",2024-12-21 22:19:14.035054,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/25779958_fpx.tif?$filterlrg$&wid=327
Bedtime Originals Sleepytime Bear Woodland Baby/Toddler Fitted Crib Sheet - Macy's,https://www.macys.com/shop/product/bedtime-originals-sleepytime-bear-woodland-baby-toddler-fitted-crib-sheet?ID=18678625,$17.99,"This charming Sleepytime Bear fitted crib sheet is made in a super soft microfiber material that is gentle on your baby's delicate skin.  The sheet is decorated with trees, foxes, raccoons, hedgehogs, and birds.",Bedtime Originals,"Bed & Bath, Bed Sheets & Pillowcases",2024-12-21 22:19:32.899508,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/28309965_fpx.tif?$filterlrg$&wid=327
HONGGE Inflatable Stand Up Paddle Board with Premium SUP Accessories - Macy's,https://www.macys.com/shop/product/hongge-inflatable-stand-up-paddle-board-with-premium-sup-accessories?ID=20186666,$200.99(50% off),"This inflatable stand-up paddle board is made with a cutting-edge drop stitch core and reinforced PVC sidewalls, offering durability, tear-resistance, and sun protection. With a non-slip EVA deck, removable fin, and adjustable paddle, it ensures a safe and smooth paddling experience for all skill levels. Conveniently packed in a backpack, it's perfect for on-the-go adventures.",HONGGE,"Health & Wellness, Exercise & Fitness Equipment",2024-12-21 22:19:36.586347,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/30491972_fpx.tif?$filterlrg$&wid=327
Men's Nike Anthracite Tennessee Volunteers Tonal Showtime Full-Zip Hoodie - Macy's,https://www.macys.com/shop/product/mens-nike-anthracite-tennessee-volunteers-tonal-showtime-full-zip-hoodie?ID=16101358,$89.99,"When temperatures drop, put your die-hard Tennessee Volunteers fandom on stealth mode by grabbing this Showtime full-zip hoodie from Nike. It features tonal Tennessee Volunteers graphics for a sleek design. A longer, rounded hem and scuba hood also provide additional coverage to keep you nice and warm on chilly days.",Nike,Sports Fan Shop,2024-12-21 22:20:11.530655,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/24372025_fpx.tif?$filterlrg$&wid=327
Becca Women's Fiesta Plunge-Neck One-Piece Swimsuit - Macy's,https://www.macys.com/shop/product/becca-womens-fiesta-plunge-neck-one-piece-swimsuit?ID=19729018,$138.00,A strappy back pairs with a striking plunge neck featuring bright basket-weave trim in this stunning one-piece from Becca.,Becca,"Women's Clothing, Shoes & Accessories, Swimsuits",2024-12-21 22:20:16.939331,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/30001170_fpx.tif?$filterlrg$&wid=327
GUESS Big Girls Long Sleeve Glitter Print T-Shirt - Macy's,https://www.macys.com/shop/product/guess-big-girls-long-sleeve-glitter-print-t-shirt?ID=19740107,$24.00,Combine comfort and style with this fierce long sleeve tee. Featuring a screen print GUESS logo topped with a shiny glitter print. Pair it back to GUESS jeans or even the matching GUESS leggings.,GUESS,"Kids, Shirts & Tops",2024-12-21 22:20:28.466165,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/30161675_fpx.tif?$filterlrg$&wid=327
Wincraft Colombia Baseball 30'' x 60'' 2023 World Baseball Classic Spectra Beach Towel - Macy's,https://www.macys.com/shop/product/wincraft-colombia-baseball-30-x-60-2023-world-baseball-classic-spectra-beach-towel?ID=15938806,$26.99(16% off),"Bring along your passion for Colombia Baseball to the pool or shore with this Spectra Beach towel from Wincraft. It features the colorful 2023 World Baseball Classic logo and vibrant Colombia Baseball graphics. The absorbent cotton fabric is also ideal for drying off after a swim, while soft polyester is perfect for laying on to soak up some rays.",Wincraft,"Bath, Bath Towels",2024-12-21 22:20:31.759273,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/24024679_fpx.tif?$filterlrg$&wid=327
Heat Holders Lite Selina Blocks Lounge Socks - Macy's,https://www.macys.com/shop/product/heat-holders-lite-selina-blocks-lounge-socks?ID=20429931,$23.99,"Heat Holders lite socks are 5X warmer than the average cotton sock, super soft, and comfortable. Keep your feet warm or cold days with Heath Holders, makers of The Warmest Thermal Socks.",Heat Holders,"Handbags, Purses & Accessories",2024-12-21 22:21:06.563503,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/31003104_fpx.tif?$filterlrg$&wid=327
Lauren Ralph Lauren Petite Linen Fit & Flare Shirtdress - Macy's,https://www.macys.com/shop/product/lauren-ralph-lauren-petite-linen-fit-flare-shirtdress?ID=16207022,$185.00,"Light-as-air linen brings ease of movement to Lauren Ralph Lauren's fit-and-flare shirtdress, finished with a unique self-extended waist tie and adorned with LRL-engraved buttons for signature style.",Lauren Ralph Lauren,"Women's Clothing, Shoes & Accessories, Dresses",2024-12-21 22:21:09.969263,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/27070509_fpx.tif?$filterlrg$&wid=327
Dior Backstage Powder Brush N°14 - Macy's,https://www.macys.com/shop/product/dior-backstage-powder-brush-n14?ID=6656924,$65.00,"Discover the Dior Backstage Powder Brush N°14. Drawing inspiration from backstage Dior runway shows, the powder brush is designed for a perfect, simple makeup application. It is the ideal tool for use with powders and powder foundations.",DIOR,"Beauty, All Makeup",2024-12-21 22:21:13.733045,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/9985795_fpx.tif?$filterlrg$&wid=327
"Pendleton Kiva Steps Cotton Shower Curtain 72"" x 72"" - Macy's",https://www.macys.com/shop/product/pendleton-kiva-steps-cotton-shower-curtain-72-x-72?ID=18674601,$79.50,"Pendelton's Kiva Steps pattern, now in a shower curtain, perfect to dress up any bathroom.",Pendleton,"Bath, Shower Curtains",2024-12-21 22:21:17.513560,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/29020984_fpx.tif?$filterlrg$&wid=327
Loloi Heritage HER-11 2'x3' Area Rug - Macy's,https://www.macys.com/shop/product/loloi-heritage-her-11-2x3-area-rug?ID=19992643,$59.00,"Inspired by vintage rugs, the collection recreates a vintage aesthetic and variable-pile texture using a new craft process that was invented specifically for this rug. Heritage is made in Egypt of polypropylene, polyester, and wool for thicker, variable texture and soft blended pile.",Loloi,Rugs,2024-12-21 22:22:08.475059,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/30424975_fpx.tif?$filterlrg$&wid=327
Nike Men's Black Army Black Knights 2024 Rivalry Collection Fleece Jogger Pants - Macy's,https://www.macys.com/shop/product/nike-mens-black-army-black-knights-2024-rivalry-collection-fleece-jogger-pants?ID=20507200,$74.99,Gear up for one of the biggest Army Black Knights games of the year with this awesome 2024 Rivalry Collection Fleece Jogger Pants from Nike. This gear will keep you comfortable all game long. Special Army Black Knights graphics will let everyone know you're rooting for a big win.,Nike,Sports Fan Shop,2024-12-21 22:22:11.970820,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/30931544_fpx.tif?$filterlrg$&wid=327
Bling Jewelry BFF Friendship Kitten Cat Band Sterling Silver Ring for Best Friends - Macy's,https://www.macys.com/shop/product/bling-jewelry-bff-friendship-kitten-cat-band-sterling-silver-ring-for-best-friends?ID=20650627,$25.99,"CAT LOVER GIFTS - Celebrate your love for cats with our charming silver cat ring, featuring three adorable cats sitting in a row. This eye-catching piece is perfect for cat lovers and pet owners, making it a delightful  jewelry gift for women of all ages who consider their feline friends as family.",Bling Jewelry,"Jewelry & Watches, Rings",2024-12-21 22:22:16.980811,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/31086654_fpx.tif?$filterlrg$&wid=327
Nikon NIKKOR Z 26mm f/2.8 Lens - Macy's,https://www.macys.com/shop/product/nikon-nikkor-z-26mm-f-2.8-lens?ID=20451316,$396.95(20% off),"Less than one inch thick, featherlight, and packed with image quality, the NIKKOR Z 26mm f/2.8 is a prime pancake born for the streets. This set contains Nikon NIKKOR Z 26mm f/2.8 Lens, LC-K108 Front Lens Cap, LF-N1 Rear Lens Cap, HB-111 Lens Hood.",Nikon,"Electronics, Cameras & Photography",2024-12-21 22:22:28.476112,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/30864204_fpx.tif?$filterlrg$&wid=327
"Nautica 4-Piece Tuxedo Suit, Shirt & Bowtie, Toddler and Little Boys  - Macy's",https://www.macys.com/shop/product/nautica-4-piece-tuxedo-suit-shirt-bowtie-toddler-little-boys?ID=2505732,$95.00,Dress him in a refined black-tie look with this classic tuxedo set from Nautica. Add shoes and he's ready for any special event!,Nautica,"Kids, Suits & Suit Sets",2024-12-21 22:22:32.430055,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/15653204_fpx.tif?$filterlrg$&wid=327
Kylie Skin Lip Oil - Macy's,https://www.macys.com/shop/product/kylie-skin-lip-oil?ID=15676192,$25.00,"Kylie Skin Lip Oil is a non-sticky formula that hydrates, comforts and leaves lips looking smooth and plumped. Its rich texture combines the shine of a lip gloss with the moisture-sealing effects of a balm.",Kylie Cosmetics,"Beauty, All Makeup",2024-12-21 22:22:36.982953,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/25665584_fpx.tif?$filterlrg$&wid=327
Wincraft New York Yankees Slim 12oz. Can Cooler 4-Pack Set - Macy's,https://www.macys.com/shop/product/wincraft-new-york-yankees-slim-12oz.-can-cooler-4-pack-set?ID=19273681,$21.99,"Sit back, relax with your favorite drink and watch the New York Yankees with one of four can coolers from Wincraft. Featuring bold graphics on the front and back, these can coolers assure you can rest easy in knowing your loyalty to the New York Yankees can't be questioned. This set features two standard-size 12oz. coolers and two slim coolers, perfect for any size drinks.",Wincraft,Sports Fan Shop,2024-12-21 22:22:41.011998,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/29254891_fpx.tif?$filterlrg$&wid=327
"FC Design 2-PC Set"" 5""H St Saint San Benito Abad Statue Holy Figurine Statue Ornament Home Room Office Decor and Perfect Ideas for Housewarming, Holidays and Birthdays - Macy's",https://www.macys.com/shop/product/fc-design-2-pc-set-5h-st-saint-san-benito-abad-statue-holy-figurine-statue-ornament-home-room-office-decor-perfect-ideas-for-housewarming-holidays-birthdays?ID=20594497,$40.13,"Look at this gorgeous 2-piece figurine set! This stunning duo will make an eye-catching addition to your display shelves, desktops, or office decor. Each piece is designed to complement the other, creating a harmonious and visually appealing combination. It's a perfect gift for figurine lovers or anyone who appreciates fine craftsmanship and unique decor.",FC Design,"Home Decor, Decorative Sculptures, Statues & Figurines",2024-12-21 22:22:44.735545,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31018473_fpx.tif?$filterlrg$&wid=327
Addison Chantille ACN727 10'x14' Area Rug - Macy's,https://www.macys.com/shop/product/addison-chantille-acn727-10x14-area-rug?ID=20441643,"$1,239.00","It’s a fusion of style and functionality, featuring UV stabilization for varied environments, ultra-thin construction for simple placement, machine-washable fabric for easy upkeep, and a design that's both family and pet friendly.",Addison,Rugs,2024-12-21 22:22:47.888087,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/30851210_fpx.tif?$filterlrg$&wid=327
Canon Extender RF 1.4x Teleconverter - Macy's,https://www.macys.com/shop/product/canon-extender-rf-1.4x-teleconverter?ID=18162158,$499.00,Get even closer to distant subjects with Canon's Extender RF1.4x. This set contains a Canon Extender RF 1.4x Teleconverter.,Canon,"Electronics, Cameras & Photography",2024-12-21 22:22:50.949917,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/27479361_fpx.tif?$filterlrg$&wid=327
"Outsunny Push/Tow Lawn Roller, Yard Roller for Flattening Sod, - Macy's",https://www.macys.com/shop/product/outsunny-push-tow-lawn-roller-yard-roller-for-flattening-sod?ID=15260035,$90.83,"For an effective way of flattening the top of your lawn after sowing seeds and more, check out this drum roller from Outsunny! Our goal with this lawn roller is to make your time in the garden as easy as possible.",Outsunny,"Furniture, Outdoor Accessories & Decor",2024-12-21 22:22:54.873381,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/23316661_fpx.tif?$filterlrg$&wid=327
"DYHOME Queen Bed Frame with LED Lights and 4 Storage Drawers, Upholstered Platform LED Bed Frame Queen Size with Charging Station Button PU Leather Headboard, No Box Spring Needed - Macy's",https://www.macys.com/shop/product/dyhome-queen-bed-frame-with-led-lights-4-storage-drawers-upholstered-platform-led-bed-frame-queen-size-with-charging-station-button-pu-leather-headboard-no-box-spring-needed?ID=20546324,$349.99,Bed Frame Queen Size with RGB LED Lights and 4 Storage Drawers,DYHOME,Furniture,2024-12-21 22:22:58.330083,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/30968738_fpx.tif?$filterlrg$&wid=327
Poppy & Fritz Oxford Stripe Cotton Blue 3 Piece Duvet Cover Set-King - Macy's,https://www.macys.com/shop/product/poppy-fritz-oxford-stripe-cotton-blue-3-piece-duvet-cover-set-king?ID=20327802,$79.99,"Bring new life to your bedding ensemble with the oxford stripe duvet cover set from poppy andamp fritz. Constructed with crisp and breathable percale cotton, this stylish set is perfect for warm sleepers. Featuring a blue striped design on the solid white ground, the oxford stripe duvet ensemble will coordinate beautifully with additional accessories of all styles. Duvet cover features a zipper closure and additional inner corner ties to secure duvet insert in place during use. Duvet insert is not included and the set is machine washable for easy care.",Poppy & Fritz,"Bed & Bath, Duvet Covers & Sets",2024-12-21 22:23:09.855522,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/30717902_fpx.tif?$filterlrg$&wid=327
